Date,Region,Division,Location,Unit ID,Service Line,Room Type,Market Rate,Current Rate,Occupancy Status,Days Vacant,Attribute (A/B/C),Square Footage,Last Renovated,Floor Number,Notes
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-001,IL,Studio,3440,3270,Occupied,0,A,550,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-002,IL,Studio,3453,3182,Occupied,0,A,550,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-003,IL,Studio,3685,3395,Occupied,0,A,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-004,IL,Studio,3324,3261,Occupied,0,A,550,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-005,IL,Studio,3623,3355,Occupied,0,A,550,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-006,IL,Studio,3716,3674,Occupied,0,B,550,01/01/2019,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-007,IL,Studio,3613,0,Vacant,74,B,550,01/01/2018,1,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-008,IL,Studio,3514,3393,Occupied,0,A,550,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-009,IL,Studio,3678,3508,Occupied,0,B,550,01/01/2018,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-010,IL,Studio,3369,3318,Occupied,0,A,550,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-011,IL,Studio,3272,3016,Occupied,0,A,550,01/01/2017,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-012,IL,Studio,3652,3383,Occupied,0,A,550,01/01/2016,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-013,IL,Studio,3750,3619,Occupied,0,A,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-014,IL,1 Bedroom,3803,3762,Occupied,0,A,750,01/01/2021,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-015,IL,1 Bedroom,4166,4145,Occupied,0,B,750,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-016,IL,1 Bedroom,4154,3886,Occupied,0,A,750,01/01/2021,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-017,IL,1 Bedroom,3963,3797,Occupied,0,A,750,01/01/2017,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-018,IL,1 Bedroom,4006,3987,Occupied,0,B,750,01/01/2017,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-019,IL,1 Bedroom,3832,0,Vacant,44,B,750,01/01/2018,1,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-020,IL,1 Bedroom,3828,3703,Occupied,0,B,750,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-021,IL,1 Bedroom,4234,0,Vacant,11,A,750,01/01/2019,2,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-022,IL,1 Bedroom,4225,4188,Occupied,0,A,750,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-023,IL,1 Bedroom,3770,3554,Occupied,0,A,750,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-024,IL,1 Bedroom,4251,0,Vacant,53,A,750,01/01/2015,1,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-025,IL,1 Bedroom,4003,0,Vacant,79,A,750,01/01/2021,3,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-026,IL,1 Bedroom,3819,3560,Occupied,0,B,750,01/01/2019,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-027,IL,2 Bedroom,4773,4639,Occupied,0,B,950,01/01/2016,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-028,IL,2 Bedroom,4715,4362,Occupied,0,B,950,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-029,IL,2 Bedroom,4434,4291,Occupied,0,A,950,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-030,IL,2 Bedroom,4439,4126,Occupied,0,B,950,01/01/2021,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-031,IL,2 Bedroom,4639,4356,Occupied,0,A,950,01/01/2016,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-032,IL,2 Bedroom,4785,4750,Occupied,0,A,950,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-033,IL,2 Bedroom,4668,4355,Occupied,0,A,950,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-034,IL,2 Bedroom,4816,4669,Occupied,0,A,950,01/01/2019,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-035,IL,2 Bedroom,4685,4476,Occupied,0,A,950,01/01/2019,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-036,IL,2 Bedroom,4782,4674,Occupied,0,A,950,01/01/2021,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-037,IL,2 Bedroom,4594,4384,Occupied,0,A,950,01/01/2017,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-038,IL,2 Bedroom,4488,4316,Occupied,0,A,950,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-039,IL,2 Bedroom,4246,4208,Occupied,0,B,950,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-040,IL,2 Bedroom,4298,4093,Occupied,0,B,950,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-041,AL,Studio,4463,4429,Occupied,0,B,550,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-042,AL,Studio,4534,4364,Occupied,0,B,550,01/01/2016,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-043,AL,Studio,4306,0,Vacant,61,A,550,01/01/2020,1,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-044,AL,Studio,4771,4492,Occupied,0,B,550,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-045,AL,Studio,4575,0,Vacant,27,B,550,01/01/2021,2,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-046,AL,Studio,4320,4032,Occupied,0,A,550,01/01/2022,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-047,AL,Studio,4421,4147,Occupied,0,B,550,01/01/2015,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-048,AL,Studio,4652,4588,Occupied,0,B,550,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-049,AL,Studio,4752,4593,Occupied,0,B,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-050,AL,Studio,4374,4362,Occupied,0,B,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-051,AL,Studio,4343,4016,Occupied,0,B,550,01/01/2020,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-052,AL,Companion Suite,4234,3947,Occupied,0,B,650,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-053,AL,Companion Suite,4641,4274,Occupied,0,B,650,01/01/2016,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-054,AL,Companion Suite,4218,3957,Occupied,0,A,650,01/01/2016,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-055,AL,Companion Suite,4779,4415,Occupied,0,B,650,01/01/2022,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-056,AL,Companion Suite,4333,4117,Occupied,0,A,650,01/01/2018,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-057,AL,Companion Suite,4404,4167,Occupied,0,B,650,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-058,AL,Companion Suite,4289,4055,Occupied,0,A,650,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-059,AL,Companion Suite,4510,4373,Occupied,0,B,650,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-060,AL,Companion Suite,4702,4416,Occupied,0,B,650,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-061,AL,Companion Suite,4377,4029,Occupied,0,B,650,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-062,AL,Companion Suite,4584,4459,Occupied,0,B,650,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-063,AL,1 Bedroom,5330,5259,Occupied,0,B,750,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-064,AL,1 Bedroom,5077,4875,Occupied,0,B,750,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-AL-065,AL,1 Bedroom,5501,5094,Occupied,0,B,750,01/01/2022,3,
