Date,Region,Division,Location,Unit ID,Service Line,Room Type,Market Rate,Current Rate,Occupancy Status,Days Vacant,Attribute (A/B/C),Square Footage,Last Renovated,Floor Number,Notes
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-001,IL,Studio,3394,3319,Occupied,0,A,550,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-002,IL,Studio,3607,3358,Occupied,0,A,550,01/01/2022,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-003,IL,Studio,3504,3379,Occupied,0,A,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-004,IL,Studio,3667,3433,Occupied,0,A,550,01/01/2020,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-005,IL,Studio,3360,3190,Occupied,0,A,550,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-006,IL,Studio,3723,3672,Occupied,0,A,550,01/01/2016,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-007,IL,Studio,3294,3195,Occupied,0,A,550,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-008,IL,Studio,3298,3221,Occupied,0,A,550,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-009,IL,Studio,3267,3201,Occupied,0,A,550,01/01/2022,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-010,IL,Studio,3367,3110,Occupied,0,A,550,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-011,IL,Studio,3527,0,Vacant,35,B,550,01/01/2019,3,Ready for immediate occupancy
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-012,IL,Studio,3617,3514,Occupied,0,A,550,01/01/2021,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-013,IL,Studio,3526,3385,Occupied,0,A,550,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-014,IL,1 Bedroom,4209,4023,Occupied,0,A,750,01/01/2015,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-015,IL,1 Bedroom,3912,3601,Occupied,0,A,750,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-016,IL,1 Bedroom,3848,3671,Occupied,0,A,750,01/01/2015,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-017,IL,1 Bedroom,4293,4208,Occupied,0,B,750,01/01/2021,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-018,IL,1 Bedroom,4216,3938,Occupied,0,A,750,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-019,IL,1 Bedroom,4198,4112,Occupied,0,B,750,01/01/2018,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-020,IL,1 Bedroom,4197,4136,Occupied,0,A,750,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-021,IL,1 Bedroom,3804,3607,Occupied,0,A,750,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-022,IL,1 Bedroom,4158,3974,Occupied,0,B,750,01/01/2015,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-023,IL,1 Bedroom,4117,4110,Occupied,0,A,750,01/01/2015,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-024,IL,1 Bedroom,4249,3963,Occupied,0,A,750,01/01/2021,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-025,IL,1 Bedroom,4192,3964,Occupied,0,A,750,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-026,IL,1 Bedroom,3933,3916,Occupied,0,A,750,01/01/2022,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-027,IL,2 Bedroom,4323,4016,Occupied,0,B,950,01/01/2016,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-028,IL,2 Bedroom,4730,4564,Occupied,0,A,950,01/01/2016,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-029,IL,2 Bedroom,4551,4369,Occupied,0,A,950,01/01/2022,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-030,IL,2 Bedroom,4733,4652,Occupied,0,A,950,01/01/2021,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-031,IL,2 Bedroom,4738,4598,Occupied,0,A,950,01/01/2018,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-032,IL,2 Bedroom,4748,4735,Occupied,0,A,950,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-033,IL,2 Bedroom,4449,4346,Occupied,0,A,950,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-034,IL,2 Bedroom,4543,4459,Occupied,0,A,950,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-035,IL,2 Bedroom,4503,4324,Occupied,0,B,950,01/01/2018,2,
